orchard,location,A-agent,B-agent,count,time
A,2,0,0,0,1
A,3,1,0,0,1
A,4,0,1,0,1
A,5,1,1,0,1
A,6,1,1,0,1
A,1,1,1,0,1
A,3,0,0,0,2
A,4,1,0,0,2
A,5,0,1,0,2
A,6,1,1,0,2
A,1,1,1,0,2
A,2,1,1,0,2
A,4,0,0,0,3
A,5,1,0,0,3
A,6,0,1,0,3
A,1,1,1,0,3
A,2,1,1,0,3
A,3,1,1,0,3
A,5,0,0,0,4
A,6,1,0,1,4
A,1,0,1,0,4
A,2,1,1,0,4
A,3,1,1,0,4
A,4,1,1,0,4
A,6,0,0,0,5
A,1,1,0,8,5
A,2,0,1,2,5
A,3,1,1,5,5
A,4,1,1,1,5
A,5,1,1,5,5
A,1,0,0,0,6
A,2,1,0,0,6
A,3,0,1,1,6
A,4,1,1,0,6
A,5,1,1,1,6
A,6,1,1,3,6
A,2,0,0,0,7
A,3,1,0,0,7
A,4,0,1,0,7
A,5,1,1,1,7
A,6,1,1,0,7
A,1,1,1,3,7
A,3,0,0,0,8
A,4,1,0,0,8
A,5,0,1,0,8
A,6,1,1,0,8
A,1,1,1,0,8
A,2,1,1,0,8
A,4,0,0,0,9
A,5,1,0,1,9
A,6,0,1,0,9
A,1,1,1,1,9
A,2,1,1,0,9
A,3,1,1,0,9
A,5,0,0,0,10
A,6,1,0,0,10
A,1,0,1,0,10
A,2,1,1,0,10
A,3,1,1,0,10
A,4,1,1,0,10
B,2,0,0,0,1
B,3,1,0,0,1
B,4,0,1,0,1
B,5,1,1,0,1
B,6,1,1,0,1
B,1,1,1,0,1
B,3,0,0,0,2
B,4,1,0,0,2
B,5,0,1,0,2
B,6,1,1,0,2
B,1,1,1,0,2
B,2,1,1,0,2
B,4,0,0,0,3
B,5,1,0,0,3
B,6,0,1,0,3
B,1,1,1,0,3
B,2,1,1,0,3
B,3,1,1,0,3
B,5,0,0,0,4
B,6,1,0,0,4
B,1,0,1,0,4
B,2,1,1,0,4
B,3,1,1,1,4
B,4,1,1,4,4
B,6,0,0,0,5
B,1,1,0,4,5
B,2,0,1,0,5
B,3,1,1,4,5
B,4,1,1,4,5
B,5,1,1,0,5
B,1,0,0,2,6
B,2,1,0,0,6
B,3,0,1,0,6
B,4,1,1,1,6
B,5,1,1,1,6
B,6,1,1,1,6
B,2,0,0,0,7
B,3,1,0,0,7
B,4,0,1,0,7
B,5,1,1,2,7
B,6,1,1,0,7
B,1,1,1,2,7
B,3,0,0,0,8
B,4,1,0,0,8
B,5,0,1,0,8
B,6,1,1,0,8
B,1,1,1,0,8
B,2,1,1,0,8
B,4,0,0,0,9
B,5,1,0,0,9
B,6,0,1,1,9
B,1,1,1,2,9
B,2,1,1,0,9
B,3,1,1,0,9
B,5,0,0,0,10
B,6,1,0,0,10
B,1,0,1,0,10
B,2,1,1,0,10
B,3,1,1,0,10
B,4,1,1,0,10
